RSPO szkoły,* liczba zdających.2,* zdawalność (%).3,średni wynik (%).2
73005,73.0,100.0,88.84931506849315
74201,9.0,100.0,75.88888888888889
24998,24.0,100.0,77.16666666666667
82490,137.0,98.54014598540147,78.47445255474453
27451,5.0,100.0,64.2
19638,156.0,100.0,90.07741935483871
27432,4.0,,
44233,36.0,91.66666666666666,55.5
82392,177.0,100.0,89.5819209039548
29968,17.0,94.11764705882352,70.17647058823529
125533,16.0,62.5,46.9375
64499,26.0,100.0,69.8076923076923
16699,153.0,98.0392156862745,81.27450980392157
91319,21.0,90.47619047619048,61.57142857142857
86513,26.0,100.0,85.23076923076923
72815,35.0,100.0,95.0
8761,82.0,98.78048780487805,80.52439024390245
12881,14.0,92.85714285714286,80.57142857142857
19739,28.0,78.57142857142857,54.357142857142854
10389,77.0,100.0,91.97402597402598
115618,4.0,,
86832,76.0,100.0,82.61842105263158
273359,2.0,,
23642,144.0,100.0,84.21527777777777
23644,134.0,92.4812030075188,62.0
44499,79.0,100.0,84.27848101265823
80423,28.0,100.0,75.53571428571429
6303,10.0,90.0,53.6
55516,17.0,82.35294117647058,62.94117647058823
11173,6.0,100.0,69.33333333333333
2928,213.0,100.0,89.93896713615024
68512,103.0,100.0,88.99029126213593
44038,169.0,98.22485207100591,78.31952662721893
3690,158.0,100.0,85.9873417721519
92706,12.0,91.66666666666666,55.333333333333336
92779,52.0,82.35294117647058,52.57692307692308
72255,45.0,86.66666666666667,58.84444444444444
72279,27.0,75.0,45.81481481481482
267600,7.0,85.71428571428571,41.0
48680,63.0,100.0,87.66666666666667
32089,104.0,96.15384615384616,69.63461538461539
60126,8.0,75.0,62.5
124192,228.0,100.0,86.39473684210526
11295,6.0,16.666666666666664,18.0
107530,27.0,92.5925925925926,79.48148148148148
11093,14.0,92.85714285714286,67.71428571428571
90414,119.0,99.15966386554622,85.9327731092437
14339,143.0,100.0,92.39160839160839
14369,238.0,95.35864978902954,78.31512605042016
81234,19.0,100.0,94.42105263157895
128606,45.0,86.36363636363636,57.44444444444444
82475,18.0,94.11764705882352,66.83333333333333
79044,82.0,98.78048780487805,69.52439024390245
85351,19.0,100.0,71.10526315789474
8247,49.0,97.95918367346938,83.10204081632654
48339,17.0,100.0,77.29411764705883
29320,186.0,100.0,87.02173913043478
34359,86.0,100.0,86.81395348837209
18160,65.0,100.0,86.27692307692308
59910,78.0,100.0,94.12820512820512
59963,31.0,100.0,66.12903225806451
64830,113.0,99.11504424778761,83.49557522123894
59912,61.0,100.0,88.88524590163935
6692,54.0,100.0,69.09433962264151
20087,181.0,100.0,97.05
20872,60.0,98.33333333333333,80.0
20852,31.0,100.0,92.6774193548387
80067,56.0,98.21428571428571,74.53571428571429
6593,92.0,98.9010989010989,79.79347826086956
21317,104.0,100.0,88.95145631067962
132462,15.0,100.0,83.4
266980,16.0,100.0,93.25
9686,191.0,100.0,95.15873015873017
4648,117.0,99.13793103448276,75.95726495726495
4434,18.0,100.0,92.16666666666667
59647,26.0,100.0,74.46153846153847
125515,33.0,100.0,74.78787878787878
104319,22.0,100.0,94.5909090909091
21210,81.0,95.0,73.9
24047,158.0,100.0,86.56962025316456
81711,150.0,100.0,95.49664429530202
108754,159.0,100.0,92.4113924050633
105235,15.0,93.33333333333333,57.13333333333333
130967,22.0,100.0,72.63636363636364
133512,63.0,100.0,80.96825396825396
196256,27.0,100.0,77.25925925925925
7709,92.0,100.0,86.1086956521739
20020,85.0,97.61904761904762,71.29411764705883
7710,21.0,95.0,71.0
8286,210.0,100.0,95.51428571428572
81721,20.0,100.0,90.9
20413,212.0,100.0,97.83490566037736
4881,120.0,100.0,92.53333333333333
25877,132.0,100.0,88.77272727272727
131637,6.0,100.0,95.16666666666667
133770,34.0,94.11764705882352,82.5
133501,86.0,100.0,87.90697674418605
133509,125.0,100.0,92.344
478885,12.0,100.0,86.83333333333333
29919,53.0,100.0,87.22641509433963
91404,7.0,85.71428571428571,68.57142857142857
91404,,,
25882,7.0,100.0,82.42857142857143
4435,190.0,100.0,95.8157894736842
79902,61.0,100.0,96.90163934426229
80061,93.0,100.0,95.79347826086956
70863,62.0,100.0,96.66129032258064
75595,61.0,100.0,89.44262295081967
4927,164.0,100.0,93.65853658536585
20433,195.0,100.0,97.16494845360825
7711,152.0,100.0,88.44736842105263
27081,249.0,100.0,96.81927710843374
4735,243.0,100.0,97.35390946502058
19385,43.0,97.67441860465115,78.25581395348837
58279,41.0,100.0,85.17073170731707
84658,111.0,100.0,95.7927927927928
64262,30.0,100.0,83.8
7713,174.0,100.0,97.6453488372093
80098,43.0,100.0,84.76744186046511
19684,111.0,100.0,83.56756756756756
20145,40.0,100.0,87.6
